原始URL,最终URL,状态,节点数,HTTP码,响应秒数,是否有更新,历史检查,历史更新,更新频率,上次更新时间,摘要
http://101.42.181.118:8888/asr_task_id.txt,http://101.42.181.118:8888/asr_task_id.txt,无有效节点,0,200,0.89,否,4,1,1/4,2026-09-02 22:04:30,b5298c4f-301c-45dc-9851-ffef38cf6d6b
http://101.42.181.118:8888/concat_list.txt,http://101.42.181.118:8888/concat_list.txt,无有效节点,0,200,4.34,否,4,1,1/4,2026-09-02 22:04:30,file '/home/ubuntu/DouyinLiveRecorder/downloads/小红书直播/wanto哥理财/wanto哥理财_2026-06-17_21-53-24_000.mp3' file '/home/ubuntu/DouyinLiveRecorder/downloads/小红书直播/wanto哥理财/wanto哥理财_2026-06-17_21-53-24_001.mp3' file '/home/ubuntu/DouyinLiveRecorder/downloads/小红书直播/wanto哥理财/wanto哥理财_2026-06-17_21-53-24_002.mp3' 
http://101.42.181.118:8888/hermes-cwd-90cf0158570c.txt,http://101.42.181.118:8888/hermes-cwd-90cf0158570c.txt,无有效节点,0,200,4.35,否,4,1,1/4,2026-09-02 22:04:30,/home/ubuntu/.hermes/skills 
http://101.42.181.118:8888/mihomo_clean.yaml,http://101.42.181.118:8888/mihomo_clean.yaml,提取成功,34,200,0.89,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_clean2.yaml,http://101.42.181.118:8888/mihomo_clean2.yaml,提取成功,34,200,1.86,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_config.yaml,http://101.42.181.118:8888/mihomo_config.yaml,提取成功,34,200,2.3,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_config_fixed.yaml,http://101.42.181.118:8888/mihomo_config_fixed.yaml,提取成功,33,200,2.13,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_final.yaml,http://101.42.181.118:8888/mihomo_final.yaml,提取成功,34,200,0.98,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_go123.yaml,http://101.42.181.118:8888/mihomo_go123.yaml,提取成功,34,200,1.27,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_manual.yaml,http://101.42.181.118:8888/mihomo_manual.yaml,提取成功,34,200,1.07,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_noshortid.yaml,http://101.42.181.118:8888/mihomo_noshortid.yaml,提取成功,34,200,2.22,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_quoted.yaml,http://101.42.181.118:8888/mihomo_quoted.yaml,提取成功,34,200,1.95,否,4,1,1/4,2026-09-02 22:04:30,
http://101.42.181.118:8888/mihomo_sub.yaml,http://101.42.181.118:8888/mihomo_sub.yaml,无有效节点,0,200,1.25,否,4,1,1/4,2026-09-02 22:04:30,mixed-port: 7890 allow-lan: true bind-address: '*' mode: rule log-level: info ipv6: true prefer-ipv6: true external-controller: '127.0.0.1:9090' find-process-mode: strict unified-delay: true tcp-concurrent: true geodata-mode: true geo-auto-update: true geo-update-interval: 24 geox-url:     geoip: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geoip.dat'     geosite: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geosite.dat'     mmdb: 'https://cdn.jsdelivr.net/gh/Me
